cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered,summary_bm,summary_en
KLUSTER DAH LAPAN INDUSTRI KULIM,Kedah,"KULIM, BALING, KUALA MUDA, KUBANG PASU, BANDAR BAHARU",2/2/2022,14/2/2022,workplace,ended,0,135,0,257,0,0,135,"Kluster ini dikenalpasti hasil saringan bersasar di tempat kerja yang melibatkan pekerja-pekerja sebuah kilang yang terletak di Lot 8, Industrial Zone Phase 2, Kulim.","This cluster was identified as a result of targeted screening at the workplace involving employees of a factory located at Lot 8, Industrial Zone Phase 2, Kulim."
KLUSTER TANJUNG SEMBRONG 2,Johor,BATU PAHAT,2/2/2022,2/5/2022,workplace,ended,0,34,0,141,0,0,34,"Kluster ini merupakan kluster berulang kali kedua yang melibatkan pekerja-pekerja sebuah gudang yang terletak di Tanjung Sembrong, Batu Pahat. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Malaysia, berumur 27 tahun yang dilaporkan positif COVID-19 pada 1 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 28 Januari 2022.","This cluster is a recurring cluster for the second time involved warehouse workers located at Tanjung Sembrong, Batu Pahat.  The case index in this cluster is a 27 years old Malaysian man who reported COVID-19 positive on 1st February 2022 during symptomatic screening. The case became symptomatic on 28th January 2022."
KLUSTER KUALA KERDAU,Pahang,TEMERLOH,2/2/2022,2/6/2022,education,ended,0,24,0,39,0,0,24,"Kluster ini melibatkan kakitangan dan pelajar-pelajar di sebuah pusat pendidikan yang terletak di Kampung Kuala Kerdau, Temerloh. Kes indeks bagi kluster ini merupakan seorang perempuan, berumur 16 tahun, Warganegara Malaysia yang dilaporkan positif COVID-19 pada 31 Januari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 27 Januari 2022.","This cluster involves staff and students at an educational center located in Kampung Kuala Kerdau, Temerloh. The index case for this cluster was a 16-year-old female, Malaysian citizen who was reported positive for COVID-19 on 31 January 2022 as a result of symptomatic individual screening. The case began to unfold on January 27, 2022."
KLUSTER JALAN PERSIARAN ABU BAKAR SULTAN 2,Johor,JOHOR BAHRU,2/2/2022,2/6/2022,highRisk,ended,0,10,0,46,0,0,10,"Kluster ini merupakan kluster berulang kali kedua yang melibatkan kakitangan sebuah pusat kesihatan awam yang terletak di Jalan Persiaran Abu Bakar Sultan, Johor Bahru. Kes indeks bagi kluster ini merupakan seorang lelaki, berumur 43 tahun, Warganegara Malaysia yang dilaporkan positif COVID-19 pada 29 Januari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 24 Januari 2022.","This cluster is the second recurring cluster involving staff of a public health center located at Jalan Persiaran Abu Bakar Sultan, Johor Bahru. The index case for this cluster was a man, aged 43 years, a Malaysian citizen who was reported positive for COVID-19 on 29 January 2022 as a result of symptomatic individual screening. The case began to unfold on January 24, 2022."
KLUSTER JALAN DAMAI BUKIT MERTAJAM,Pulau Pinang,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN",2/2/2022,2/7/2022,education,ended,0,61,0,107,0,0,61,"Kluster ini melibatkan kakitangan dan pelajar-pelajar sebuah pusat pendidikan yang terletak di Jalan Damai, Bukit Mertajam, Seberang Perai Tengah. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Malaysia, berumur 17 tahun yang dilaporkan positif COVID-19 pada 31 Januari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 28 Januari 2022.","This cluster involves staff and students at an educational centre located at Jalan Damai, Bukit Mertajam, Seberang Perai Tengah. The index case for this cluster is a 17 years old Malaysian male who reported positive for COVID-19 on 31st January 2022 as a result of symptomatic individuals screening. Case became symptomatic on 28th January 2022."
KLUSTER JALAN IDAMAN VILLA,Negeri Sembilan,SEREMBAN,2/2/2022,2/8/2022,education,ended,0,17,0,107,0,0,17,"Kluster ini melibatkan kakitangan dan pelajar-pelajar di sebuah pusat pendidikan yang terletak di Jalan Idaman Villa 10, Seremban. Kes indeks bagi kluster ini merupakan seorang kanak-kanak lelaki, berumur 7 tahun, Warganegara Malaysia yang dilaporkan positif COVID-19 pada 26 Januari 2022 hasil saringan kontak rapat.","This cluster involves staff and students at an educational center located at Jalan Idaman Villa 10, Seremban. The index case for this cluster was a 7-year-old boy, a Malaysian citizen who was reported positive for COVID-19 on 26 January 2022 as a result of close contact screening."
KLUSTER LORONG PERMAI KANAN,Pahang,ROMPIN,2/2/2022,2/10/2022,community,ended,0,25,0,31,0,0,25,"Kes indeks bagi kluster ini merupakan seorang perempuan, Warganegara Malaysia, berumur 24 tahun yang dilaporkan positif COVID-19 pada 29 Januari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 28 Januari 2022. Nama kluster ini merujuk kepada lokaliti di mana penularan kes-kes dilaporkan berlaku iaitu di Lorong Permai Kanan, Muadzam Shah, Rompin.","The index case for this cluster was a 24 years old Malaysian female who reported positive for COVID-19 on 29th January 2022 as a result of symptomatic individuals. Case became symptomatic on 28th January 2022. The name of the cluster refers to the locality of transmission of cases reported to occur at Lorong Permai Kanan, Muadzam Shah, Rompin."
KLUSTER JALAN OOI KAR SENG,Pulau Pinang,SEBERANG PERAI SELATAN,3/2/2022,3/1/2022,education,ended,0,25,0,64,0,0,25,"Kluster ini melibatkan pelajar-pelajar di sebuah pusat pendidikan yang terletak di Jalan Ooi Kar Seng, Simpang Ampat, Seberang Perai Selatan. Kes indeks bagi kluster ini merupakan lelaki, berumur 18 tahun, Warganegara Malaysia yang dilaporkan positif COVID-19 pada 26 Februari 2022 hasil saringan individu bergejala. Kes-kes mula bergejala pada 22 Februari 2022.","This cluster involves students at an educational center located at  Jalan Ooi Kar Seng, Simpang Ampat, Seberang Perai Selatan. The index cases for this cluster is a man, 18 years old, Malaysian citizens who were reported positive for COVID-19 on 26 February 2022 as a result of symptomatic individual screening. The cases became symptomatic on February 22, 2022."
KLUSTER JALAN ISTIMEWA 7 CEMERLANG,Johor,JOHOR BAHRU,3/2/2022,3/1/2022,workplace,ended,0,34,0,61,0,0,34,"Kluster ini melibatkan sebuah kilang yang terletak di Jalan Istimewa 7, Taman Perindustrian Cemerlang, Johor Bahru. Kes indeks bagi kluster ini merupakan perempuan, Warganegara Malaysia, berumur 36 tahun yang dilaporkan positif COVID-19 pada 25 Februari 2022 hasil saringan bergejala. Kes mula bergejala pada 19 Februari 2022.","This cluster involve a factory located at Taman Perindustrian Cemerlang, Johor Bahru. The index case for this cluster was a female, Malaysian citizen, aged 36 years who reported positive for COVID-19 on 25 February 2022 as a result of symptomatic screening. The case became symptomatic on February 19, 2022."
KLUSTER JALAN PADU TAMPOI 19,Johor,JOHOR BAHRU,3/2/2022,3/1/2022,workplace,ended,0,11,0,126,0,0,11,"Kluster ini melibatkan sebuah kilang yang terletak di No. 19, Jalan Padu, Kawasan Perusahaan Tampoi, Johor Bahru. Kes indeks bagi kluster ini merupakan perempuan, Warganegara Malaysia, berumur 34 tahun yang dilaporkan positif COVID-19 pada 21 Februari 2022 hasil saringan bergejala. Kes mula bergejala pada 14 Februari 2022.","This cluster involve a factory located at No. 19, Jalan Padu, Kawasan Perusahaan Tampoi, Johor Bahru. The index case for this cluster was a female, Malaysian citizen, aged 34 years who reported positive for COVID-19 on 21 February 2022 as a result of symptomatic screening. The case became symptomatic on February 14, 2022."
KLUSTER JALAN SERUNAI SATU,Selangor,KLANG,3/2/2022,3/1/2022,highRisk,ended,0,22,0,23,0,0,22,"Kluster ini dikenalpasti hasil saringan bersasar melibatkan penghuni-penghuni sebuah pusat jagaan yang terletak di Jalan Serunai 1, Taman Klang Jaya, Klang.","This cluster is the result of a targeted screening involving the residents of a care center located in Jalan Serunai 1, Taman Klang Jaya, Klang."
KLUSTER KAMPUNG GAING,Negeri Sembilan,REMBAU,3/2/2022,13/3/2022,education,ended,0,77,0,128,0,0,77,"Kluster ini melibatkan pelajar-pelajar di sebuah pusat pendidikan yang terletak di Kampung Gaing, Pedas, Rembau. Kes indeks bagi kluster ini merupakan lelaki, berumur 18 tahun, Warganegara Malaysia yang dilaporkan positif COVID-19 pada 28 Februari 2022 hasil saringan individu bergejala. Kes-kes mula bergejala pada 24 Februari 2022.","This is cluster involves students at an educational center located at Kampung Gaing, Pedas, Rembau. The index cases for this cluster is a female, aged 18 years old Malaysian citizens who were reported positive for COVID-19 on 28 February 2022 as a result of symptomatic individual screening. The cases became symptomatic on 24 February 2022."
KLUSTER JALAN BUDIMAN 2,W.P. Kuala Lumpur,CHERAS,3/2/2022,14/3/2022,education,ended,0,70,0,115,0,0,70,"Kluster ini merupakan kluster berulang kali kedua yang melibatkan pelajar-pelajar di sebuah pusat pendidikan yang terletak di Jalan Budiman, Bandar Tun Razak, Cheras. Kes indeks bagi kluster ini merupakan perempuan, berumur 17 tahun, Warganegara Malaysia yang dilaporkan positif COVID-19 pada 2 Mac 2022 hasil saringan individu bergejala. Kes-kes mula bergejala pada 26 Februari 2022.","Thisis a recurrent cluster which involves students at an educational center located at Jalan Budiman, Bandar Tun Razak, Cheras. The index cases for this cluster is a female, aged 17 years old Malaysian citizens who were reported positive for COVID-19 on 2 March 2022 as a result of symptomatic individual screening. The cases became symptomatic on 26 February 2022."
KLUSTER JALAN PADANG TEMBAK 3,Kelantan,"KOTA BHARU, BACHOK",3/2/2022,27/3/2022,workplace,ended,0,151,0,207,0,0,151,"Kluster ini merupakan kluster berulang kali ketiga melibatkan sebuah kilang yang terletak di Kawasan Perindustrian Pengkalan Chepa II, Jalan Padang Tembak, Kota Bharu. Kes indeks bagi kluster ini merupakan lelaki, Warganegara Malaysia, berumur 36 tahun yang dilaporkan positif COVID-19 pada 26 Februari 2022 hasil saringan bergejala. Kes mula bergejala pada 21 Februari 2022.","This cluster is the third recurring cluster involving a factory located at Kawasan Perindustrian Pengkalan Chepa II, Jalan Padang Tembak, Kota Bharu. The index case for this cluster was a man, a Malaysian citizen, aged 36 years who reported positive for COVID-19 on 26 February 2022 as a result of symptomatic screening. The case became symptomatic on February 21, 2022."
KLUSTER KAMPUNG AYER KUNDOR,Negeri Sembilan,REMBAU,3/2/2022,3/5/2022,highRisk,ended,0,82,0,116,0,0,82,"Kluster ini dikenalpasti hasil saringan bersasar melibatkan penghuni-penghuni sebuah pusat jagaan yang terletak di Kampung Anak Ayer Kundor, Pedas, Rembau.","This cluster is the result of a targeted screening involving the residents of a care center located in Kampung Anak Ayer Kundor, Pedas, Rembau."
KLUSTER JALAN GELUNG PEPUYU,Perak,PERAK TENGAH,3/2/2022,3/7/2022,workplace,ended,0,25,0,206,0,0,25,"Kluster ini melibatkan pekerja-pekerja sebuah kilang yang terletak di Jalan Gelung Pepuyu, Bota, Perak Tengah. Kes indeks bagi kluster ini merupakan lelaki, Warganegara Malaysia, berumur 24 tahun yang dilaporkan positif COVID-19 pada 2 Mac 2022 hasil saringan bergejala. Kes mula bergejala pada 20 Februari 2022.","This cluster involve workers of a factory located at Jalan Gelung Pepuyu, Bota, Perak Tengah. The index case for this cluster was a female, Malaysian citizen, aged 24 years who reported positive for COVID-19 on 2 Mac 2022 as a result of symptomatic screening. The case became symptomatic on February 20, 2022."
KLUSTER JALAN DUA PULUH SUNGAI BESI,W.P. Kuala Lumpur,"CHERAS, LEMBAH PANTAI",4/2/2022,4/7/2022,education,ended,0,13,0,89,0,0,13,"Kluster ini melibatkan kakitangan dan pelajar-pelajar sebuah pusat pendidikan yang terletak di Jalan 20/146, Sungai Besi, Cheras. Kes indeks bagi kluster ini merupakan seorang kanak-kanak perempuan, Warganegara Malaysia, berumur 7 tahun yang dilaporkan positif COVID-19 pada 29 Mac 2022 hasil saringan individu bergejala. Kes mula bergejala pada  21 Mac 2022.","This cluster involved students and staff at an education centre located at Jalan 20/146, Sungai Besi, Cheras. The index case for this cluster is a 7 year old, female child, Malaysian citizen who reported COVID-19 positiver on 29th March 2022 during symptomatic screening. The case was reported to have symptoms started on 21st March 2022."
KLUSTER INDUSTRI LOT 27,Melaka,MELAKA TENGAH,4/2/2022,4/12/2022,workplace,ended,0,106,0,519,0,0,106,"Kluster ini melibatkan pekerja-pekerja sebuah kilang yang terletak di Lot 27, Batu Berendam Industrial Estate Phase 3, Melaka Tengah. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Nepal, berumur 24 tahun yang dilaporkan positif COVID-19 pada 1 April 2022 hasil saringan tempat kerja.","This cluster involved factory workers located at Lot 27, Batu Berendam Industrial Estate Phase 3, Melaka Tengah. The case index in this cluster is a 24 years old Nepal citizen who reported COVID-19 positive on 1st April 2022 during workplace screening."
KLUSTER JALAN IPOH,W.P. Kuala Lumpur,"TITIWANGSA, KEPONG",6/2/2022,13/6/2022,education,ended,0,39,0,192,0,0,39,"Kluster ini melibatkan pelajar-pelajar sebuah institusi pendidikan tinggi yang terletak di Jalan Ipoh, Titiwangsa, Kuala Lumpur. Kes indeks bagi kluster ini merupakan seorang perempuan, Warganegara Malaysia, berumur 19 tahun, yang dilaporkan positif COVID-19 pada 2 Jun 2022 hasil saringan individu bergejala. Kes mula bergejala pada 25 Mei 2022.","This cluster involves students at a higher educational center located in Jalan Ipoh, Titiwangsa, Kuala Lumpur. The index case for this cluster was a female, Malaysian citizen, aged 19 years, who was reported positive for COVID-19 on 2nd June 2022 as a result of symptomatic individual screening. The case began symptomatic on 25th May 2022."
KLUSTER JALAN SENTUL,W.P. Kuala Lumpur,KEPONG,7/2/2022,7/1/2022,highRisk,ended,0,34,0,37,0,0,34,"Kluster ini melibatkan penghuni-penghuni dan kakitangan sebuah pusat kebajikan yang terletak di Lorong Sentul Bahagia, Kampung Sentul Pasar, Kuala Lumpur. Kes indeks bagi kluster ini merupakan lelaki, Bukan Warganegara, berumur 60 tahun yang dilaporkan positif COVID-19 pada 2 Julai 2022 hasil saringan individu bergejala. Kes mula bergejala pada 26 Jun 2022.","The cluster involves the residents and carers of a welfare center located at Lorong Sentul Bahagia, Kampung Sentul Pasar, Kuala Lumpur. The index case for this cluster was a 60-year-old man, foreigner who was reported positive for COVID-19 on 2nd July 2022 as a result of symptomatic individual screening. The case began to experience symptoms on June 26th, 2022."
KLUSTER JALAN BERCHAM NOVA,Perak,KINTA,7/2/2022,7/5/2022,workplace,ended,0,23,0,24,0,0,23,"Kluster ini melibatkan pekerja-pekerja sebuah kilang yang terletak di Jalan Bercham, Kawasan Perindustrian Ringan Bercham, Ipoh. Kes indeks bagi kluster ini merupakan lelaki, Warganegara Myanmar, berumur 41 tahun yang dilaporkan positif COVID-19 pada 29 Jun 2022 hasil saringan individu bergejala. Kes mula bergejala pada 26 Jun 2022.","This cluster involves workers of a factory located in Jalan Bercham, Kawasan Perindustrian Ringan Bercham, Ipoh. The index case for this cluster is a man, Myanmar citizen, aged 41 years old who was reported positive for COVID-19 on 29th Jun 2022 as a result of symptomatic screening. The case began to show symptoms on 26th June 2022."
KLUSTER JALAN SIMPANG PULAI LAHAT,Perak,KINTA,7/2/2022,7/9/2022,education,ended,0,15,0,15,0,0,15,"Kluster ini melibatkan pelajar-pelajar sebuah pusat pendidikan yang terletak di Jalan Simpang Pulai Lahat, Kinta. Kes indeks bagi kluster ini merupakan lelaki, Warganegara Malaysia, berumur 14 tahun yang dilaporkan positif COVID-19 pada 29 Jun 2022 hasil saringan individu bergejala. Kes mula bergejala pada 25 Jun 2022.","This cluster involves students from an education center located in Jalan Simpang Pulai Lahat, Kinta. The index case for this cluster is a man, Malaysian citizen, aged 14 years old who was reported positive for COVID-19 on 29th Jun 2022 as a result of symptomatic screening. The case began to show symptoms on 25th June 2022."
KLUSTER TAPAK BINA PERSIARAN MAHKOTA 2,Selangor,KUALA LANGAT,8/2/2022,8/3/2022,workplace,ended,0,23,0,77,0,0,23,"Kluster ini merupakan kluster berulang untuk kali kedua yang melibatkan pekerja-pekerja di tapak bina yang terletak di Persiaran Mahkota, Tanjung Dua Belas, Kuala Langat. Kes indeks bagi kluster ini merupakan seorang lelaki berumur 46 tahun,Bukan Warganegara yang dilaporkan positif COVID-19 pada 20 Julai 2022 hasil saringan bergejala. Kes mula bergejala pada 20 Julai 2022.","This is a second recurring cluster involving worker of a construction site located at Persiaran Mahkota, Tanjung Dua Belas, Kuala Langat. The case index for this cluster is a 46 year old, male, non citizen that was declare positive Covid-19 on the 20th July 2022 as a result of symptomatic screening. The case started showing symptoms on 20th July 2022."
KLUSTER LORONG ILMU 2,Negeri Sembilan,SEREMBAN,8/2/2022,8/3/2022,education,ended,0,34,0,99,0,0,34,"Kluster ini merupakan kluster berulang kali kedua dikenalpasti hasil saringan bergejala yang melibatkan pelajar-pelajar dan kakitangan di sebuah pusat pendidikan yang terletak di Persiaran Ilmu, Putra Nilai, Seremban.","This cluster is the second recurring cluster identified as a result of symptomatic screening involving students and staff at an educational center located in Persiaran Ilmu, Putra Nilai, Seremban."
KLUSTER DUA JALAN PAHANG KUALA KUBU BHARU,Selangor,HULU SELANGOR,11/2/2022,11/1/2022,workplace,ended,0,12,0,22,0,0,12,"Kluster ini melibatkan kakitangan sebuah pusat pentadbiran awam yang terletak di Jalan Pahang, Kuala Kubu Bharu, Hulu Selangor. Kes indeks bagi kluster ini merupakan Warganegara Malaysia, wanita, berumur 37 tahun yang dilaporkan positif COVID-19 pada 28 Oktober 2022 hasil saringan bergejala. Kes mula bergejala pada 26 Oktober 2022.","This cluster involves the staff of a public administration center located in Jalan Pahang, Kuala Kubu Bharu, Hulu Selangor. The index case for this cluster is a Malaysian citizen, female, aged 37 years who was reported positive for COVID-19 on 28 October 2022 as a result of symptomatic screening. The case started showing symptoms on October 26, 2022."
KLUSTER JALAN KAKI BUKIT,Perlis,KANGAR,12/2/2022,12/7/2022,education,ended,0,14,14,14,0,0,0,"Kluster ini melibatkan pelajar-pelajar sebuah pusat pendidikan yang terletak di Batu 8 1/2, Jalan Kaki Bukit, Kangar. Kes indeks bagi kluster ini merupakan seorang lelaki, berumur 14 tahun, Warganegara Malaysia yang dilaporkan positif COVID-19 pada 2 Disember 2022 hasil saringan individu bergejala. Kes mula bergejala pada 26 November 2022.","This cluster involves the students of an education center located at Batu 8 1/2, Jalan Kaki Bukit, Kangar. The index case for this cluster is a male, aged 14, a Malaysian citizen who was reported positive for COVID-19 on 2 December 2022 as a result of the screening of symptomatic individuals. The case started showing symptoms on November 26, 2022."
KLUSTER SEKUH,Pahang,"TEMERLOH, MARAN",13/2/2022,13/2/2022,education,ended,0,34,0,35,0,0,34,"Kluster ini melibatkan pelajar-pelajar di sebuah pusat pendidikan yang terletak di Kampung Sekuh, Kuala Krau, Temerloh. Kes indeks bagi kluster ini merupakan perempuan, berumur 17 tahun, Warganegara Malaysia, yang dilaporkan positif COVID-19 pada 12 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 5 Februari 2022.","This cluster involves students at an educational center located in Kampung Sekuh, Kuala Krau, Temerloh. The index case for this cluster was a woman, aged 17 years, Malaysian citizen, who was reported positive for COVID-19 on 12 February 2022 as a result of symptomatic individual screening. The case began symptomatic on 5 February 2022."
KLUSTER JALAN TUN ALI,Melaka,MELAKA TENGAH,13/2/2022,16/2/2022,education,ended,0,44,0,71,0,0,44,"Kluster ini melibatkan pelajar-pelajar di sebuah institusi pendidikan yang terletak di Jalan Hang Tuah, Melaka Tengah. Kes indeks bagi kluster ini merupakan perempuan, berumur 19 tahun, Warganegara Malaysia, yang dilaporkan positif COVID-19 pada 12 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala batuk dan sakit tekak pada 6 Februari 2022. Nama kluster merujuk kepada lokaliti penularan kes-kes dilaporkan berlaku iaitu di asrama pelajar yang terletak di Jalan Tun Ali, Melaka Tengah","This cluster involves students at an educational institution located in Jalan Hang Tuah,  Melaka Tengah. The index case for this cluster was a female, 19 years old, Malaysian citizen, who was reported positive for COVID-19 on 12 February 2022 as a result of symptomatic individual screening. The case started with cough and sore throat on 6 February 2022. The name of the cluster refers to the locality of the transmission of the cases reported to occur in the student dormitory located at Jalan Tun Ali, Melaka Tengah."
KLUSTER JALAN MARMAR,"Selangor,W.P. Kuala Lumpur","TITIWANGSA, KEPONG, KUALA SELANGOR",13/2/2022,17/2/2022,education,ended,0,11,0,171,0,0,11,"Kluster ini melibatkan pelajar-pelajar sebuah pusat pendidikan yang terletak di Jalan Marmar 1, Kampung Lembah Melewar, Kepong. Kes indeks bagi kluster ini merupakan seorang perempuan, Warganegara Malaysia, berumur 18 tahun yang dilaporkan positif COVID-19 pada 5 Februari 2022 hasil saringan kontak rapat. Kes adalah tidak bergejala.","This cluster involves students of an educational centre located at Jalan Marmar 1, Kampung Lembah Melewar, Kepong. The index case for this cluster is a 18 years old, Malaysian female who was reported positive COVID-19 on 5th February 2022 as a result of closed contact screening. Case does not have any symptoms."
KLUSTER JALAN TEMERLOH TITIWANGSA,W.P. Kuala Lumpur,"TITIWANGSA, CHERAS",13/2/2022,17/2/2022,education,ended,0,17,0,37,0,0,17,"Kluster ini melibatkan kakitangan dan pelajar-pelajar sebuah pusat pendidikan yang terletak di Jalan Temerloh, Titiwangsa. Kes indeks bagi kluster ini merupakan seorang perempuan, Warganegara Malaysia, berumur 29 tahun yang dilaporkan positif COVID-19 pada 11 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 8 Februari 2022.","This cluster involves staffs and students of an educational centre located at Jalan Temerloh, Titiwangsa. The index case for this cluster is a 29 years old, Malaysian female who was reported positive COVID-19 on 11th February 2022 as a result of symptomatic individual screening. Case became symptomatic on 8th February 2022."
KLUSTER KAMPUNG POKOK JENERIH,Pulau Pinang,"SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH",13/2/2022,18/2/2022,education,ended,0,45,0,146,0,0,45,"Kluster ini melibatkan guru dan pelajar-pelajar di sebuah pusat pendidikan iaitu Sekolah Menengah Islam Tahfiz Sains Dan Teknologi Pulau Pinang yang terletak di Jalan Tun Hamdan Sheikh Tahir, Kampung Pokok Jenerih, Kepala Batas, Seberang Perai Utara. Kes indeks bagi kluster ini merupakan pelajar lelak, berumur 18 tahun, Warganegara Malaysia, yang dilaporkan positif COVID-19 pada 13 Februari 2022 hasil saringan individu bergejala.","This cluster involves teachers and students at an education center, Sekolah Menengah Islam Tahfiz Sains Dan Teknologi Pulau Pinang located at Jalan Tun Hamdan Sheikh Tahir, Kampung Pokok Jenerih, Kepala Batas, Seberang Perai Utara. The index case for this cluster was a male student, aged 18, a Malaysian citizen, who was reported positive for COVID-19 on 13 February 2022 as a result of symptomatic individual screenin"
KLUSTER LORONG CEMPAKA,Pahang,KUANTAN,13/2/2022,18/2/2022,highRisk,ended,0,17,0,22,0,0,17,"Kluster ini melibatkan penghuni-penghuni sebuah pusat kebajikan yang terletak di Lorong Cempaka, Kampung Sri Cempaka, Kuantan. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Malaysia, berumur 9 tahun yang dilaporkan positif COVID-19 pada 13 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 6 Februari 2022.","This cluster involves residents of a welfare centre located at Lorong Cempaka, Kampung Sri Cempaka, Kuantan. The index case for this cluster is a 9 years old boy, Malaysian who was reported positive COVID-19 on 13th February 2022 as a result of symptomatic individual screening. Case became symptomatic on 6th February 2022."
KLUSTER JAYA TIMUR MEMPAGA,Pahang,BENTONG,13/2/2022,19/2/2022,education,ended,0,20,0,28,0,0,20,"Kluster ini melibatkan pelajar-pelajar di sebuah institusi pendidikan yang terletak di Felda Jaya Timur Mempaga, Bentong, Pahang. Kes indeks bagi kluster ini merupakan perempuan, berumur 18 tahun,  Warganegara Malaysia, yang dilaporkan positif COVID-19 pada 9 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 7 Februari 2022.","This cluster involves students at an educational institution located in Felda Jaya Timur Mempaga, Bentong, Pahang. The index case for this cluster was a female, aged 18 years, a Malaysian citizen, who was reported positive for COVID-19 on 9 February 2022 as a result of symptomatic individual screening. The case began symptomatic on 7 February 2022."
KLUSTER INDUSTRI JALAN EP SERKAM SATU 2,Melaka,JASIN,13/2/2022,22/2/2022,workplace,ended,0,155,0,443,0,0,155,"Kluster ini merupakan kluster berulang kali kedua melibatkan kakitangan sebuah kilang yang terletak di Jalan EP Serkam 1, Merlimau, Jasin. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Myanmar, berumur 30 tahun yang dilaporkan positif COVID-19 pada 5 Februari 2022 hasil saringan kontak rapat. Kes mula bergejala pada 1 Februari 2022.","This cluster is a recurring cluster for the second time which involves workers of a factory located at Jalan EP Serkam 1, Merlimau, Jasin. The index case is a 30 years old,Myanmar male who was reported positive COVID-19 on 5th February 2022 as a result of closed contact screening. Case became symptomatic on 1st February 2022."
KLUSTER CABANG EMPAT JALAN MAKTAB,Kelantan,KOTA BHARU,13/2/2022,26/2/2022,education,ended,0,41,0,49,0,0,41,"Kluster ini melibatkan pelajar-pelajar sebuah pusat pendidikan yang terletak berhampiran dengan Cabang Empat Jalan Maktab, Pengkalan Chepa, Kota Bharu. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Malaysia, berumur 17 tahun yang dilaporkan positif COVID-19 pada 11 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 8 Februari 2022.","This cluster involves an educational centre located near to Cabang Empat Jalan Maktab, Pengkalan Chepa, Kota Bharu. The index case for this cluster is a 17 years old Malaysian male who was reported positive for COVID-19 on 11th February 2022 as a result of symptomatic individual screening. Case became symptomatic on 8th February 2022."
KLUSTER JALAN DUTAMAS RAYA,W.P. Kuala Lumpur,KEPONG,13/2/2022,26/2/2022,education,ended,0,14,0,28,0,0,14,"Kluster ini melibatkan guru dan pelajar-pelajar di sebuah institusi pendidikan yang terletak di Jalan Dutamas Raya, Segambut, Kepong. Kes indeks bagi kluster ini merupakan lelaki, berumur 17 tahun, Warganegara Perancis, yang dilaporkan positif COVID-19 pada 13 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 4 Februari 2022.","This cluster involves teachers and students at an educational institution located at Jalan Dutamas Raya, Segambut, Kepong. The index case for this cluster was a man, 17 years old, French citizen, who reported positive for COVID-19 on 13 February 2022 as a result of symptomatic individual screening. The case began symptomatic on 4 February 2022."
KLUSTER JALAN PADU TAMPOI,Johor,JOHOR BAHRU,14/2/2022,13/2/2022,workplace,ended,0,14,0,97,0,0,14,"Kluster ini melibatkan pekerja-pekerja sebuah kilang yang terletak di Jalan Padu, Tampoi, Johor Bahru. Kes indeks bagi kluster ini merupakan seorang perempuan, Warganegara Malaysia, berumur 30 tahun yang dilaporkan positif COVID-19 bermula pada 6 Februari 2022 melalui saringan kontak rapat. Kes mula bergejala pada 3 Februari 2022.","This cluster involves workers of a factory located at Jalan Padu, Tampoi, Johor Bahru. The index case for this cluster was a 30-year-old female, Malaysian citizen who was reported positive for COVID-19 starting on 6 February 2022 through close contact screening. The case began symptomatic on 3rd February 2022."
KLUSTER LORONG SARJAN HASSAN,Kelantan,PASIR MAS,14/2/2022,13/2/2022,education,ended,0,19,0,29,0,0,19,"Kluster ini melibatkan pelajar-pelajar di sebuah sebuah institusi pendidikan yang terletak di Lorong Sarjan Hassan, Pasir Mas. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Malaysia, berumur 18 tahun yang dilaporkan positif COVID-19 pada 14 Februari 2022 hasil saringan individu bergejala. Kes mula bergejala pada 10 Februari 2022.","This cluster involves students at an educational institution located at Lorong Sarjan Hassan, Pasir Mas. The index case for this cluster was a man, a Malaysian citizen, aged 18 years who reported positive for COVID-19 on 14 February 2022 as a result of symptomatic individual screening. The case began symptomatic on 10th February 2022."
